task,prob_threshold,persistence,score_threshold,trigger_rate_correct,trigger_rate_incorrect,objective
rd,0.95,2,1.0,0.09947643979057591,0.789103690685413,0.6896272508948371
rd,0.95,2,0.0,0.09947643979057591,0.789103690685413,0.6896272508948371
rd,0.95,2,1.5,0.09424083769633508,0.7820738137082601,0.6878329760119251
rd,0.95,2,2.0,0.08376963350785341,0.7574692442882249,0.6736996107803715
rd,0.95,2,2.5,0.08376963350785341,0.7152899824253075,0.6315203489174541
rd,0.95,2,3.0,0.07853403141361257,0.6572934973637962,0.5787594659501836
rd,0.9,3,2.5,0.09424083769633508,0.6098418277680141,0.515600990071679
rd,0.95,3,1.0,0.07329842931937172,0.6010544815465729,0.5277560522272012
rd,0.95,3,0.0,0.07329842931937172,0.6010544815465729,0.5277560522272012
rd,0.95,3,1.5,0.06806282722513089,0.5975395430579965,0.5294767158328656
rgs,0.95,3,0.0,0.08791208791208792,0.6476014760147601,0.5596893881026722
rgs,0.95,3,1.0,0.08791208791208792,0.6457564575645757,0.5578443696524877
rgs,0.95,3,1.5,0.08791208791208792,0.6217712177121771,0.5338591298000892
rgs,0.95,3,2.0,0.07692307692307693,0.559040590405904,0.4821175134828271
rgs,0.9,4,2.5,0.0989010989010989,0.470479704797048,0.3715786058959491
rgs,0.95,4,1.0,0.038461538461538464,0.45387453874538747,0.415413000283849
rgs,0.95,4,0.0,0.038461538461538464,0.45387453874538747,0.415413000283849
rgs,0.95,3,2.5,0.06593406593406594,0.45018450184501846,0.38425043591095254
rgs,0.95,4,1.5,0.038461538461538464,0.42988929889298894,0.39142776043145044
rgs,0.95,4,2.0,0.038461538461538464,0.37822878228782286,0.3397672438262844
