task,prob_threshold,persistence,score_threshold,trigger_rate_correct,trigger_rate_incorrect,objective
rd,0.6,2,0.0,0.9214659685863874,0.9982425307557118,0.07677656216932438
rd,0.6,2,1.0,0.8848167539267016,0.9982425307557118,0.11342577682901023
rd,0.6,2,1.5,0.612565445026178,0.9824253075571178,0.3698598625309397
rd,0.6,2,2.0,0.47643979057591623,0.9314586994727593,0.45501890889684304
rd,0.6,2,2.5,0.3717277486910995,0.8787346221441125,0.507006873453013
rd,0.6,2,3.0,0.2774869109947644,0.8154657293497364,0.537978818354972
rd,0.6,3,0.0,0.680628272251309,0.9420035149384886,0.2613752426871796
rd,0.6,3,1.0,0.6335078534031413,0.9367311072056239,0.3032232538024826
rd,0.6,3,1.5,0.42408376963350786,0.8945518453427065,0.47046807570919863
rd,0.6,3,2.0,0.31413612565445026,0.820738137082601,0.5066020114281508
rd,0.6,3,2.5,0.2513089005235602,0.7504393673110721,0.4991304667875119
rd,0.6,3,3.0,0.21465968586387435,0.6537785588752196,0.4391188730113453
rd,0.6,4,0.0,0.43455497382198954,0.7715289982425307,0.3369740244205412
rd,0.6,4,1.0,0.39267015706806285,0.7592267135325131,0.3665565564644503
rd,0.6,4,1.5,0.2617801047120419,0.680140597539543,0.41836049282750115
rd,0.6,4,2.0,0.21465968586387435,0.5746924428822495,0.36003275701837517
rd,0.6,4,2.5,0.17277486910994763,0.4991212653778559,0.3263463962679083
rd,0.6,4,3.0,0.16230366492146597,0.38312829525483305,0.22082463033336708
rd,0.7,2,0.0,0.7539267015706806,0.9964850615114236,0.24255835994074293
rd,0.7,2,1.0,0.7277486910994765,0.9964850615114236,0.2687363704119471
rd,0.7,2,1.5,0.5130890052356021,0.9789103690685413,0.46582136383293926
rd,0.7,2,2.0,0.42408376963350786,0.9226713532513181,0.49858758361781025
rd,0.7,2,2.5,0.32460732984293195,0.8717047451669596,0.5470974153240277
rd,0.7,2,3.0,0.25654450261780104,0.8101933216168717,0.5536488189990707
rd,0.7,3,0.0,0.5026178010471204,0.9279437609841827,0.42532595993706235
rd,0.7,3,1.0,0.450261780104712,0.9209138840070299,0.4706521039023179
rd,0.7,3,1.5,0.32460732984293195,0.8717047451669596,0.5470974153240277
rd,0.7,3,2.0,0.27225130890052357,0.7996485061511424,0.5273971972506188
rd,0.7,3,2.5,0.225130890052356,0.7328646748681898,0.5077337848158339
rd,0.7,3,3.0,0.193717277486911,0.632688927943761,0.43897165045684994
rd,0.7,4,0.0,0.3089005235602094,0.7328646748681898,0.42396415130798043
rd,0.7,4,1.0,0.2617801047120419,0.7170474516695958,0.45526734695755394
rd,0.7,4,1.5,0.20418848167539266,0.6467486818980668,0.4425602002226741
rd,0.7,4,2.0,0.16753926701570682,0.5500878734622144,0.3825486064465076
rd,0.7,4,2.5,0.1518324607329843,0.4710017574692443,0.31916929673626
rd,0.7,4,3.0,0.14136125654450263,0.35676625659050965,0.21540500004600702
rd,0.8,2,0.0,0.5445026178010471,0.9929701230228472,0.4484675052218
rd,0.8,2,1.0,0.5130890052356021,0.9912126537785588,0.47812364854295675
rd,0.8,2,1.5,0.3507853403141361,0.9648506151142355,0.6140652748000994
rd,0.8,2,2.0,0.29842931937172773,0.9050966608084359,0.6066673414367081
rd,0.8,2,2.5,0.24083769633507854,0.8506151142355008,0.6097774179004223
rd,0.8,2,3.0,0.20418848167539266,0.789103690685413,0.5849152090100203
rd,0.8,3,0.0,0.2617801047120419,0.8734622144112478,0.611682109699206
rd,0.8,3,1.0,0.24607329842931938,0.8699472759226714,0.623873977493352
rd,0.8,3,1.5,0.18848167539267016,0.820738137082601,0.6322564616899309
rd,0.8,3,2.0,0.17277486910994763,0.7680140597539543,0.5952391906440067
rd,0.8,3,2.5,0.1518324607329843,0.6906854130052724,0.5388529522722881
rd,0.8,3,3.0,0.14659685863874344,0.6010544815465729,0.4544576229078295
rd,0.8,4,0.0,0.16753926701570682,0.6414762741652021,0.4739370071494953
rd,0.8,4,1.0,0.15706806282722513,0.632688927943761,0.47562086511653584
rd,0.8,4,1.5,0.1256544502617801,0.5834797891036907,0.45782533884191057
rd,0.8,4,2.0,0.1099476439790576,0.5096660808435852,0.3997184368645276
rd,0.8,4,2.5,0.10471204188481675,0.43409490333919154,0.3293828614543748
rd,0.8,4,3.0,0.09947643979057591,0.3374340949033392,0.2379576551127633
rd,0.85,2,0.0,0.39790575916230364,0.9666080843585237,0.5687023251962201
rd,0.85,2,1.0,0.3769633507853403,0.9666080843585237,0.5896447335731834
rd,0.85,2,1.5,0.27225130890052357,0.9402460456942003,0.6679947367936767
rd,0.85,2,2.0,0.24083769633507854,0.8927943760984183,0.6519566797633397
rd,0.85,2,2.5,0.18324607329842932,0.8347978910369068,0.6515518177384775
rd,0.85,2,3.0,0.16753926701570682,0.7768014059753954,0.6092621389596886
rd,0.85,3,0.0,0.18848167539267016,0.820738137082601,0.6322564616899309
rd,0.85,3,1.0,0.18848167539267016,0.8172231985940246,0.6287415232013545
rd,0.85,3,1.5,0.16230366492146597,0.7785588752196837,0.6162552102982177
rd,0.85,3,2.0,0.14659685863874344,0.7328646748681898,0.5862678162294463
rd,0.85,3,2.5,0.1256544502617801,0.6572934973637962,0.531639047102016
rd,0.85,3,3.0,0.1256544502617801,0.5711775043936731,0.44552305413189297
rd,0.85,4,0.0,0.12041884816753927,0.5852372583479789,0.4648184101804396
rd,0.85,4,1.0,0.12041884816753927,0.5799648506151143,0.459546002447575
rd,0.85,4,1.5,0.09947643979057591,0.539543057996485,0.44006661820590914
rd,0.85,4,2.0,0.08376963350785341,0.4780316344463972,0.3942620009385438
rd,0.85,4,2.5,0.08376963350785341,0.40421792618629176,0.32044829267843833
rd,0.85,4,3.0,0.08376963350785341,0.3216168717047452,0.23784723819689177
rd,0.9,2,0.0,0.24607329842931938,0.929701230228471,0.6836279317991516
rd,0.9,2,1.0,0.225130890052356,0.929701230228471,0.704570340176115
rd,0.9,2,1.5,0.17801047120418848,0.8963093145869947,0.7182988433828063
rd,0.9,2,2.0,0.15706806282722513,0.8576449912126538,0.7005769283854286
rd,0.9,2,2.5,0.1256544502617801,0.8031634446397188,0.6775089943779387
rd,0.9,2,3.0,0.11518324607329843,0.7381370826010545,0.622953836527756
rd,0.9,3,0.0,0.14136125654450263,0.7398945518453427,0.5985332953008401
rd,0.9,3,1.0,0.14136125654450263,0.7381370826010545,0.5967758260565519
rd,0.9,3,1.5,0.12041884816753927,0.7135325131810193,0.5931136650134801
rd,0.9,3,2.0,0.11518324607329843,0.6783831282952548,0.5631998822219564
rd,0.9,3,2.5,0.09424083769633508,0.6098418277680141,0.515600990071679
rd,0.9,3,3.0,0.09424083769633508,0.5342706502636204,0.44002981256728535
